timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1501240226.315836,1.560576,-1.502649,-2.171282,0.006494,0.005369,0.004897,0.068091,0.997679,-0.000696,0.003687,0.036348,0.001322,16.168659,-6.402728,38.136028,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.117676,0.000000,131.835938,1501240226.999987,
1501240227.315658,1.638728,-1.505398,-2.091133,0.001040,-0.001780,-0.002579,0.065201,0.997862,0.004436,0.004012,0.034731,0.001362,16.255095,-6.556322,38.073135,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.108032,0.000000,131.835938,1501240227.999988,
1501240228.315478,2.246067,-1.496741,-1.520431,-0.442640,0.052139,-0.120912,0.057750,0.997259,0.046250,-0.023540,0.041788,0.081008,14.862720,-7.770363,38.412216,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,13.478760,0.000000,131.835938,1501240228.999988,
1501240229.315275,-2.926222,-1.422428,-0.382016,1.286750,0.882750,0.646969,-0.031592,0.989014,0.144409,0.299978,-0.449936,0.048065,16.738960,-10.449516,36.978264,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,13.187744,0.000000,131.835938,1501240229.999988,
1501240230.315111,3.050165,-1.213341,-0.481653,-0.254553,2.567059,0.062834,0.031945,0.936790,0.348430,0.370688,1.064522,-0.344707,23.823322,-17.568626,29.674400,,,,,,,
,,,,,,,,,,,,,,,,1.302672,103.798543,12.826172,0.000000,141.679688,1501240230.999988,
1501240231.314919,3.136930,-1.260027,-0.274212,1.711685,-0.304049,1.679159,0.001426,0.952099,0.305788,0.259835,-0.516979,0.119475,27.989807,-14.732084,27.501154,,,,,,,
,,,,,,,,,,,,,,,,1.302661,103.798569,12.597351,0.710000,156.445312,1501240231.999987,
1501240232.314760,-3.083641,-0.986013,-0.222110,-0.077980,-2.025022,-0.713977,-0.031973,0.833832,0.551092,0.257589,-0.710647,-0.411337,27.558073,-20.869308,23.702358,,,,,,,
,,,,,,,,,,,,,,,,1.302655,103.798580,12.916260,1.060000,149.765625,1501240232.999988,
1501240233.314578,-2.855664,-1.307753,-0.422312,-2.296029,-2.784599,-1.151792,-0.073338,0.965603,0.249464,0.790639,0.579273,-0.512311,10.931983,-12.354777,37.984898,,,,,,,
,,,,,,,,,,,,,,,,1.302647,103.798587,12.572327,1.060000,151.875000,1501240233.999988,
1501240234.314414,0.650804,-1.372543,2.984465,-0.275614,0.202451,-0.059364,0.119322,0.980412,-0.156699,-0.174391,0.203105,0.296057,7.196963,1.061149,40.768604,,,,,,,
,,,,,,,,,,,,,,,,1.302641,103.798593,12.480103,0.930000,121.640625,1501240234.999988,
1501240235.314239,2.589240,-1.366839,-0.857000,0.614380,1.489892,-0.574076,0.106274,0.979273,0.172426,-0.247952,0.132452,0.049086,25.357025,-13.071442,30.019327,,,,,,,
,,,,,,,,,,,,,,,,1.302637,103.798596,12.230286,0.790000,146.601562,1501240235.999988,
1501240236.314066,0.750917,-1.511419,-3.032257,0.093281,-0.053202,0.124785,0.040490,0.998238,-0.043383,0.019981,0.040031,-0.005766,13.774884,-3.468587,38.900169,,,,,,,
,,,,,,,,,,,,,,,,1.302633,103.798597,12.587219,0.600000,151.875000,1501240236.999987,
1501240237.313865,1.288359,-1.480578,-2.524904,0.004428,-0.004708,-0.005658,0.086526,0.995933,-0.025110,0.002478,0.033547,0.004190,12.358079,-4.692323,39.246162,,,,,,,
,,,,,,,,,,,,,,,,1.302633,103.798597,12.306030,0.000000,151.875000,1501240237.999987,
